fband	year
281174203	2020
281174203	2020
281174204	2020
281174204	2020
281174205	2020
281174205	2020
281174206	2020
281174206	2020
281174207	2020
281174208	2020
281174208	2020
281174209	2020
281174209	2020
281174210	2020
281174211	2020
281174211	2020
281174212	2020
281174212	2020
281174213	2020
281174213	2020
281174214	2020
281174215	2020
281174215	2020
281174216	2020
281174216	2020
281174330	2020
281174331	2020
281174340	2020
281174501	2020
281174501	2020
281174502	2020
281174502	2020
281174503	2020
281174503	2020
281174504	2020
281174504	2020
281174505	2020
281174506	2020
281174506	2020
281174507	2020
281174507	2020
281174508	2020
281174508	2020
281174509	2020
281174509	2020
281174510	2020
281174510	2020
281174511	2020
281174511	2020
281174512	2020
281174513	2020
281174513	2020
281174514	2020
281174514	2020
281174515	2020
281174516	2020
281174517	2020
281174517	2020
281174518	2020
281174518	2020
281174525	2020
281174525	2020
281174701	2020
281174701	2020
281174901	2020
281174901	2020
281174902	2020
281174902	2020
281174903	2020
281174904	2020
281174904	2020
281174905	2020
281174906	2020
281174908	2020
88004749	2021
212110288	2021
232146953	2021
235120646	2021
240150375	2021
240150375	2021
240150378	2021
240150379	2021
240150379	2021
240150380	2021
240150380	2021
240150383	2021
240150383	2021
240150385	2021
240150392	2021
240150394	2021
240150396	2021
240150396	2021
240150397	2021
240150397	2021
272107217	2021
272107217	2021
272107361	2021
272107361	2021
272107379	2021
272107748	2021
272107790	2021
272108162	2021
272108246	2021
272108247	2021
272108248	2021
272108249	2021
272108249	2021
272108250	2021
272108250	2021
272108251	2021
272108251	2021
272108252	2021
272108253	2021
272108311	2021
272108315	2021
272108341	2021
272108341	2021
272108357	2021
272108365	2021
272108365	2021
272108366	2021
272108367	2021
272108367	2021
272108368	2021
272108395	2021
272108395	2021
278171875	2021
278171875	2021
278171877	2021
278171877	2021
278172095	2021
278172096	2021
278172145	2021
278172145	2021
278172147	2021
278172147	2021
278172151	2021
278172154	2021
278172163	2021
278172231	2021
278172231	2021
278172411	2021
278172563	2021
281107748	2021
281128450	2021
281128450	2021
281128452	2021
281128452	2021
281128453	2021
281128453	2021
281128454	2021
281128454	2021
281128455	2021
281128455	2021
281128456	2021
281128457	2021
281128458	2021
281128458	2021
281128459	2021
281128459	2021
281128460	2021
281128461	2021
281128462	2021
281128463	2021
281128464	2021
281128465	2021
281128465	2021
281128466	2021
281128467	2021
281128467	2021
281128468	2021
281128469	2021
281128469	2021
281128470	2021
281128471	2021
281128472	2021
281128473	2021
281128474	2021
281128474	2021
281128479	2021
281128549	2021
281128549	2021
281128550	2021
281128550	2021
281128553	2021
281128553	2021
281128555	2021
281128555	2021
281128557	2021
281128558	2021
281128558	2021
281128559	2021
281128559	2021
281128559	2021
281128562	2021
281128562	2021
281128598	2021
281128602	2021
281128602	2021
281128703	2021
281128704	2021
281128705	2021
281128805	2021
281128805	2021
281128816	2021
281128816	2021
281172150	2021
281174001	2021
281174001	2021
281174002	2021
281174002	2021
281174003	2021
281174003	2021
281174004	2021
281174004	2021
281174005	2021
281174005	2021
281174006	2021
281174007	2021
281174007	2021
281174008	2021
281174008	2021
281174009	2021
281174009	2021
281174010	2021
281174011	2021
281174011	2021
281174012	2021
281174013	2021
281174014	2021
281174116	2021
281174116	2021
281174122	2021
281174122	2021
281174128	2021
281174134	2021
281174135	2021
281174157	2021
281174157	2021
281174188	2021
281174188	2021
281174202	2021
281174202	2021
281174206	2021
281174206	2021
281174208	2021
281174209	2021
281174211	2021
281174212	2021
281174215	2021
281174216	2021
281174306	2021
281174306	2021
281174343	2021
281174343	2021
281174391	2021
281174392	2021
281174405	2021
281174413	2021
281174413	2021
281174416	2021
281174416	2021
281174417	2021
281174417	2021
281174442	2021
281174455	2021
281174455	2021
281174501	2021
281174501	2021
281174502	2021
281174503	2021
281174503	2021
281174504	2021
281174506	2021
281174506	2021
281174508	2021
281174508	2021
281174509	2021
281174509	2021
281174510	2021
281174510	2021
281174511	2021
281174511	2021
281174513	2021
281174513	2021
281174518	2021
281174518	2021
281174525	2021
281174525	2021
281174527	2021
281174601	2021
281174601	2021
281174602	2021
281174603	2021
281174604	2021
281174605	2021
281174606	2021
281174607	2021
281174608	2021
281174609	2021
281174610	2021
281174611	2021
281174668	2021
281174669	2021
281174697	2021
281174698	2021
281174699	2021
281174699	2021
281174700	2021
281174712	2021
281174713	2021
281174714	2021
281174715	2021
281174716	2021
281174717	2021
281174718	2021
281174719	2021
281174734	2021
281174801	2021
281174802	2021
281174802	2021
281174803	2021
281174803	2021
281174804	2021
281174805	2021
281174806	2021
281174807	2021
281174808	2021
281174861	2021
281174902	2021
281174902	2021
281174904	2021
281174907	2021
281174920	2021
281174920	2021
